Item Name ,Description ,Qty,Category,Group ID,STYLE NO,COST PX,SELLING RATE,RE-ORDER,UOM,BRANCH,date,Barcode 
shelf brackets10*12,shelf brackets10*12,230,,,,1788,3000,5,7,1,12-11-2020,78888888888888
shelf brackets12*14,shelf brackets12*14,118,,,,2014,3500,5,7,1,12-11-2020,92600000000000
"2"" pipe fitting s","2"" pipe fitting s",100,,,,12923,15000,5,1,1,12-11-2020,30700000000000
306 steel wheels,306 steel wheels,550,,,,780,1500,5,1,1,12-11-2020,30700000000000
40*40(door stoppers),40*40(door stoppers),373,,,,1126,3000,5,1,1,12-11-2020,91600000000000
40*50door stoppers ),40*50door stoppers ),250,,,,1500,3500,5,1,1,12-11-2020,91600000000000
6*8(shelf brackets),6*8(shelf brackets),138,,,,827,2500,5,7,1,12-11-2020,98800000000000
8*10(shelf brackets),8*10(shelf brackets),26,,,,1162,3000,5,7,1,12-11-2020,30700000000000
808 drawer lock,808 drawer lock,13,,,,1650,2500,5,1,1,12-11-2020,30700000000000
Akado handles,Akado handles,4,,,,28000,35000,5,7,1,12-11-2020,30700000000000
alumi fasteners,alumi fasteners,20,,,,4500,7000,5,7,1,12-11-2020,9250000000000
alumi hinges,alumi hinges,100,,,,4650,7000,5,7,1,12-11-2020,91200000000000
american chat screw drivers,american chat screw drivers,7,,,,6700,10000,5,1,1,12-11-2020,9280000000000
B & Ylock,B & Ylock,1,,,,19500,25000,5,1,1,12-11-2020,92200000000000
ball catchers,ball catchers,18,,,,25000,65000,5,8,1,12-11-2020,92800000000000
big coat display,big coat display,12,,,,8700,25000,5,1,1,12-11-2020,98300000000000
black casters ,black casters ,113,,,,900,2500,5,1,1,12-11-2020,13938280
brown ball catchers,brown ball catchers,304,,,,176,500,5,1,1,12-11-2020,37100000000000
brown small handles,brown small handles,49,,,,1860,3000,5,7,1,12-11-2020,92200000000000
brown transparent knobs,brown transparent knobs,22,,,,1100,2500,5,7,1,12-11-2020,45000000000000
chair pins ,chair pins ,49,,,,1500,2500,5,8,1,12-11-2020,97000000000000
chair stand short,chair stand short,6,,,,8500,20000,5,7,1,12-11-2020,90200000000000
chair stands long,chair stands long,11,,,,8500,20000,5,7,1,12-11-2020,92900000000000
circular fittings,circular fittings,89,,,,3250,5000,5,7,1,12-11-2020,92000000000000
"closed pipe fittings  1""","closed pipe fittings  1""",93,,,,3755,5000,5,7,1,12-11-2020,34800000000000
"closed pipe fittings  3/4""","closed pipe fittings  3/4""",312,,,,2326,3000,5,7,1,12-11-2020,30700000000000
concrete nails,concrete nails,106,,,,2000,4000,5,8,1,12-11-2020,98700000000000
cresent locks,cresent locks,139,,,,3580,10000,5,7,1,12-11-2020,95300000000000
cross locks,cross locks,20,,,,23500,30000,5,7,1,12-11-2020,98700000000000
cylinders mix,cylinders mix,15,,,,7000,10000,5,1,1,12-11-2020,92600000000000
door guards,door guards,44,,,,4160,12000,5,7,1,12-11-2020,92200000000000
moneta cam lock(30mm) ,moneta cam lock(30mm) ,31,,,,3500,7000,5,1,1,12-11-2020,92400000000000
"drawer runners plastic 16""","drawer runners plastic 16""",0,,,,2904,6000,5,1,1,12-11-2020,98900000000000
orange rollers ,orange rollers ,532,,,,720,1750,5,1,1,12-11-2020,30700000000000
euro cylindrical locks,euro cylindrical locks,6,,,,15000,50000,5,1,1,12-11-2020,30700000000000
"feality bolts 2""","feality bolts 2""",20,,,,972,2000,5,1,1,12-11-2020,90900000000000
"feality bolts 3""","feality bolts 3""",20,,,,1950,3000,5,1,1,12-11-2020,98700000000000
fuhua mahogany handles,fuhua mahogany handles,12,,,,1700,3000,5,7,1,12-11-2020,92500000000000
fuhua silver handles,fuhua silver handles,7,,,,1700,3000,5,7,1,12-11-2020,97600000000000
"gold bolt 6""","gold bolt 6""",28,,,,1650,3000,5,1,1,12-11-2020,92800000000000
gold handles ,gold handles ,309,,,,2220,3000,5,1,1,12-11-2020,92800000000000
guli toilet lock,guli toilet lock,34,,,,26311,45000,5,1,1,12-11-2020,30900000000000
JLH small locks ,JLH small locks ,32,,,,18000,25000,5,7,1,12-11-2020,35700000000000
kale engines,kale engines,96,,,,28000,36000,5,1,1,12-11-2020,30700000000000
kenyos big locks,kenyos big locks,24,,,,34000,40000,5,7,1,12-11-2020,91100000000000
kenyos small locks,kenyos small locks,46,,,,25000,30000,5,7,1,12-11-2020,92500000000000
king door closers,king door closers,21,,,,27063,55000,5,1,1,12-11-2020,3490000000000
kitchen (kikele)hinges,kitchen (kikele)hinges,171,,,,2146,3000,5,7,1,12-11-2020,92100000000000
LAK handles,LAK handles,209,,,,18500,25000,5,7,1,12-11-2020,95300000000000
LAK small locks,LAK small locks,125,,,,20750,30000,5,7,1,12-11-2020,30700000000000
LAK big locks,LAK big locks,400,,,,26250,40000,5,7,1,12-11-2020,98500000000000
long nose 9elephant),long nose 9elephant),144,,,,1750,5000,5,1,1,12-11-2020,98500000000000
L-Way,L-Way,60,,,,2530,7000,5,1,1,12-11-2020,95200000000000
moneta drawer lock,moneta drawer lock,232,,,,2773,3500,5,1,1,12-11-2020,91000000000000
mosquito nets,mosquito nets,19,,,,60371,100000,5,9,1,12-11-2020,13940290
napoli lock ,napoli lock ,1,,,,17500,25000,5,7,1,12-11-2020,98500000000000
"open pipe fittings  1""","open pipe fittings  1""",130,,,,3644,5000,5,7,1,12-11-2020,99000000000000
"open pipe fittings  3/4""","open pipe fittings  3/4""",468,,,,2160,3500,5,7,1,12-11-2020,95900000000000
ordinary hinges ,ordinary hinges ,324,,,,1225,3000,5,7,1,12-11-2020,92200000000000
ouke gold handles,ouke gold handles,22,,,,3050,6000,5,7,1,12-11-2020,37800000000000
over alls ,over alls ,12,,,,17500,30000,5,1,1,12-11-2020,37800000000000
oxford hinges,oxford hinges,93,,,,4500,5000,5,7,1,12-11-2020,30700000000000
parker engine ,parker engine ,45,,,,28000,30000,5,1,1,12-11-2020,30200000000000
parker heavy handles,parker heavy handles,45,,,,28000,30000,5,1,1,12-11-2020,92200000000000
parker lock big complete,parker lock big complete,8,,,,23150,35000,5,7,1,12-11-2020,30700000000000
parker lock small complete,parker lock small complete,72,,,,23150,35000,5,7,1,12-11-2020,30700000000000
piano hinges,piano hinges,102,,,,3500,6000,5,1,1,12-11-2020,30700000000000
"pipe fitting 1/2""","pipe fitting 1/2""",100,,,,3004,6000,5,1,1,12-11-2020,30700000000000
plug 12,plug 12,1384,,,,1750,3000,5,1,1,12-11-2020,30700000000000
plug 6,plug 6,200,,,,1056,3000,5,8,1,12-11-2020,30700000000000
plug 10,plug 10,200,,,,1067,3000,5,8,1,12-11-2020,30700000000000
shape 8 chair stands,shape 8 chair stands,23,,,,1600,2500,5,1,1,12-11-2020,30700000000000
sand paper rolls,sand paper rolls,10,,,,2520,20000,5,7,1,12-11-2020,30700000000000
shoes tacks,shoes tacks,55,,,,1750,3500,5,8,1,12-11-2020,30700000000000
short nose(elephant d/lock),short nose(elephant d/lock),55,,,,2857,3500,5,8,1,12-11-2020,30700000000000
silver knobs,silver knobs,156,,,,3750,5000,5,1,1,12-11-2020,30700000000000
"silver long handles 9""","silver long handles 9""",15,,,,3750,5000,5,7,1,12-11-2020,30700000000000
"silvver small handkles 10""","silvver small handkles 10""",38,,,,5700,9000,5,7,1,12-11-2020,30700000000000
sisly locks,sisly locks,2,,,,30000,30000,5,7,1,12-11-2020,30700000000000
"socket fittings 3/4""","socket fittings 3/4""",28,,,,29000,30000,5,7,1,12-11-2020,30700000000000
spray paint,spray paint,204,,,,4687,10000,5,7,1,12-11-2020,95300000000000
squick locks,squick locks,34,,,,4687,10000,5,1,1,12-11-2020,92500000000000
stays ,stays ,24,,,,12700,25000,5,7,1,12-11-2020,95300000000000
stays ,stays ,3,,,,3480,8000,5,7,1,12-11-2020,92500000000000
steel wheels 302,steel wheels 302,29,,,,12150,15000,5,7,1,12-11-2020,92600000000000
T-Way,T-Way,280,,,,3750,7000,5,7,1,12-11-2020,92700000000000
vista engine,vista engine,213,,,,23700,30000,5,1,1,12-11-2020,92300000000000
wire brush,wire brush,24,,,,2370,5000,5,1,1,12-11-2020,92500000000000
wood fix glue,wood fix glue,26,,,,5470,7500,5,1,1,12-11-2020,98700000000000
work  suits ,work  suits ,16,,,,15400,25000,5,1,1,12-11-2020,40000000000000
W-channel,W-channel,4,,,,7500,13000,5,1,1,12-11-2020,95200000000000
"V-channel 3/4""","V-channel 3/4""",52,,,,6000,12000,5,1,1,12-11-2020,90600000000000
"V-channel 1""","V-channel 1""",26,,,,3610,10000,5,1,1,12-11-2020,99000000000000
U-channel 19mm,U-channel 19mm,108,,,,4685,12000,5,1,1,12-11-2020,99000000000000
Oval pipe ,Oval pipe ,22,,,,7891,20000,5,1,1,12-11-2020,92400000000000
"chrome pipe heavy 1""","chrome pipe heavy 1""",90,,,,8250,20000,5,1,1,12-11-2020,90900000000000
"chrome pipe light 1""","chrome pipe light 1""",0,,,,7280,20000,5,1,1,12-11-2020,90900000000000
"chrome pipe light 3/4""","chrome pipe light 3/4""",12,,,,7500,15000,5,1,1,12-11-2020,90900000000000
"chrome pipe heavy 3/4""","chrome pipe heavy 3/4""",10,,,,6000,12000,5,1,1,12-11-2020,98700000000000
curtain Railies ,curtain Railies ,11,,,,7500,15000,5,1,1,12-11-2020,90200000000000
Grinder (baby),Grinder (baby),3,,,,2700,10000,5,1,1,12-11-2020,90600000000000
secure  9,secure  9,7,,,,23400,40000,5,1,1,12-11-2020,97600000000000
secure 7,secure 7,0,,,,14760,25000,5,1,1,12-11-2020,90600000000000
secure 4,secure 4,2,,,,4500,10000,5,1,1,12-11-2020,92000000000000
joker,joker,3,,,,4780,10000,5,1,1,12-11-2020,99000000000000
self tapping screws 11/4+8,self tapping screws 11/4+8,40,,,,5340,15000,5,8,1,12-11-2020,99000000000000
self tapping screws11/2*8,self tapping screws11/2*8,40,,,,6360,18000,5,8,1,12-11-2020,99000000000000
self tapping screws2*8,self tapping screws2*8,41,,,,5040,20000,5,8,1,12-11-2020,98800000000000
wood screw(1*8),wood screw(1*8),52,,,,3250,5000,5,8,1,12-11-2020,94000000000000
"fiction hinges 10""","fiction hinges 10""",0,,,,21600,80000,5,1,1,12-11-2020,
"fiction hinges 12""","fiction hinges 12""",0,,,,2190,10000,5,1,1,12-11-2020,30700000000000
"fiction hinges 14""","fiction hinges 14""",0,,,,2400,12000,5,1,1,12-11-2020,
"fiction hinges 16""","fiction hinges 16""",250,,,,3060,14000,5,7,1,12-11-2020,90200000000000
"fictiion hinges 18""","fictiion hinges 18""",0,,,,3720,16000,5,1,1,12-11-2020,3690000000000
hangers silver ,hangers silver ,120,,,,5280,18000,5,1,1,12-11-2020,13940390
hangers bronze ,hangers bronze ,120,,,,10350,20000,5,1,1,12-11-2020,98600000000000
"metalic runners 12""","metalic runners 12""",0,,,,7890,20000,5,1,1,12-11-2020,95300000000000
"metalic  runners 14""","metalic  runners 14""",0,,,,3240,8000,5,1,1,12-11-2020,30700000000000
"metalic  runners 16""","metalic  runners 16""",0,,,,3780,10000,5,1,1,12-11-2020,35600000000000
"metalic runners18""","metalic runners18""",0,,,,4320,12000,5,1,1,12-11-2020,30700000000000
"metalic runners 20""","metalic runners 20""",0,,,,4860,14000,5,1,1,12-11-2020,30700000000000
vista toilet cylinder,vista toilet cylinder,200,,,,3400,12000,5,1,1,12-11-2020,30700000000000
breaker,breaker,1,,,,321000,1000000,5,1,1,12-11-2020,30700000000000
"ball corners 2""","ball corners 2""",200,,,,7615,20000,5,1,1,12-11-2020,30700000000000
"corner covers 2""","corner covers 2""",100,,,,12923,15000,5,1,1,12-11-2020,30700000000000
vista small cylinders ,vista small cylinders ,120,,,,3400,12000,5,1,1,12-11-2020,30700000000000
vista big cylinders ,vista big cylinders ,15,,,,4700,13000,5,1,1,12-11-2020,30700000000000
engaged locks(feality),engaged locks(feality),10,,,,6700,20000,5,1,1,12-11-2020,30700000000000
display hooks s5,display hooks s5,0,,,,8000,25000,5,1,1,12-11-2020,30700000000000
display hooks s6,display hooks s6,0,,,,8259,20000,5,1,1,12-11-2020,30700000000000
display hooks 8,display hooks 8,0,,,,10326,20000,5,1,1,12-11-2020,30700000000000
bovos small,bovos small,0,,,,13769,25000,5,1,1,12-11-2020,30700000000000
bovos big ,bovos big ,0,,,,11473,25000,5,1,1,12-11-2020,30700000000000
altrex channel small,altrex channel small,0,,,,15600,30000,5,1,1,12-11-2020,30700000000000
altrex channel big size,altrex channel big size,0,,,,5007,15000,5,1,1,12-11-2020,30700000000000
"chisel I""","chisel I""",5,,,,6500,10000,5,1,1,12-11-2020,30700000000000
hilt bit  6,hilt bit  6,0,,,,6400,10000,5,1,1,12-11-2020,30700000000000
hilt bit  8,hilt bit  8,0,,,,1300,6000,5,1,1,12-11-2020,30700000000000
allen key,allen key,10,,,,1400,8000,5,1,1,12-11-2020,30700000000000
bit s3,bit s3,0,,,,300,1000,5,1,1,12-11-2020,30700000000000
bit s3.5,bit s3.5,0,,,,280,1000,5,1,1,12-11-2020,30700000000000
bit s4,bit s4,25,,,,314,1500,5,1,1,12-11-2020,30700000000000
bit s4.5,bit s4.5,40,,,,370,2000,5,1,1,12-11-2020,30700000000000
bit s5,bit s5,13,,,,500,2000,5,1,1,12-11-2020,30700000000000
bit 6,bit 6,36,,,,600,2500,5,1,1,12-11-2020,30700000000000
bit s8,bit s8,12,,,,780,2500,5,1,1,12-11-2020,30700000000000
chains ,chains ,21,,,,1300,3000,5,1,1,12-11-2020,30700000000000
"screw eye 2""","screw eye 2""",575,,,,8900,15000,5,8,1,12-11-2020,30700000000000
ordinaryscrews 11/4*8,ordinaryscrews 11/4*8,0,,,,1972,3000,5,8,1,12-11-2020,30700000000000
ord8inary screws 11/2*8,ord8inary screws 11/2*8,9,,,,2121,4000,5,8,1,12-11-2020,30700000000000
water proof 60,water proof 60,100,,,,2121,4000,5,1,1,12-11-2020,30700000000000
water proof 80,water proof 80,100,,,,900,1500,5,1,1,12-11-2020,30700000000000
water proof 100,water proof 100,100,,,,825,1500,5,1,1,12-11-2020,30700000000000
waterproof 120,waterproof 120,100,,,,712,1500,5,1,1,12-11-2020,30700000000000
"screw hooks 4""","screw hooks 4""",0,,,,615,1500,5,1,1,12-11-2020,30700000000000
"screw hooks 6""","screw hooks 6""",0,,,,2628,5000,5,1,1,12-11-2020,30700000000000
"screw hooks 8""","screw hooks 8""",0,,,,3375,7000,5,1,1,12-11-2020,30700000000000
"screw hooks 10""","screw hooks 10""",0,,,,4500,9000,5,1,1,12-11-2020,30700000000000
"screw hooks 12""","screw hooks 12""",0,,,,5700,12000,5,1,1,12-11-2020,30700000000000
"screw hooks 14""","screw hooks 14""",0,,,,6200,20000,5,1,1,12-11-2020,3760000000000
night latch,night latch,0,,,,6800,20000,5,1,1,12-11-2020,3690000000000
"altrex 10""","altrex 10""",0,,,,800,1500,5,1,1,12-11-2020,36800000000000
"altrex 12""","altrex 12""",17,,,,750,3000,5,1,1,12-11-2020,37100000000000
"chisel 1/2""","chisel 1/2""",0,,,,855,3000,5,1,1,12-11-2020,37500000000000
"chisel 1""","chisel 1""",0,,,,2100,5000,5,1,1,12-11-2020,30700000000000
rings 25,rings 25,6,,,,2520,6000,5,1,1,12-11-2020,30700000000000
rings 35,rings 35,3,,,,5250,10000,5,1,1,12-11-2020,30700000000000
rings 38,rings 38,0,,,,33,300,5,1,1,12-11-2020,36800000000000
metal hooks,metal hooks,0,,,,25,300,5,1,1,12-11-2020,36900000000000
fridge lock ,fridge lock ,25,,,,35000,70000,5,8,1,12-11-2020,30700000000000
S-Hook,S-Hook,145,,,,1028,3500,5,1,1,12-11-2020,30700000000000
central lock,central lock,3,,,,865,3000,5,1,1,12-11-2020,30700000000000
nail pins ,nail pins ,400,,,,104,1000,5,1,1,12-11-2020,30700000000000
blowers,blowers,7,,,,38513,70000,5,1,1,12-11-2020,30700000000000
blowers,blowers,6,,,,67659,80000,5,1,1,12-11-2020,30700000000000
ordinaryhandles ,ordinaryhandles ,11,,,,8500,17000,5,7,1,12-11-2020,30700000000000
bike padlocks,bike padlocks,3,,,,7500,10000,5,1,1,12-11-2020,35500000000000
